"logFC","AveExpr","t","P.Value","adj.P.Val","B","ProbeID","SYMBOL","ENTREZID"
-0.670714512455296,6.66988952120837,-4.1146950854222,6.28852296435035e-05,0.00267565261458982,1.55399205845611,"ILMN_1666111","YTHDC1","91746"
-0.507041067856461,6.58564994119354,-4.11382541230715,6.30991194094846e-05,0.00267565261458982,1.55090462699596,"ILMN_2115421","SLC25A16","8034"
-1.1678874733488,9.27432998230948,-4.11374099502552,6.31199182083718e-05,0.00267565261458982,1.55060496427467,"ILMN_1704385","LOC347376","347376"
-0.614728960707114,7.38501218667159,-4.11373040004844,6.31225290702566e-05,0.00267565261458982,1.55056735478838,"ILMN_3305899","LOC728572","728572"
-0.714109248739966,12.1587098887887,-4.11113637198348,6.37648769924907e-05,0.00269353847873695,1.54136152339809,"ILMN_2313889","ZNF682","91120"
-0.692376146056324,8.8908270942905,-4.1110206547581,6.37936766173243e-05,0.00269353847873695,1.54095096695039,"ILMN_2133784","PATE2","399967"
0.500619757086193,7.85797487833545,4.11013238677464,6.40151624982175e-05,0.00269762140913541,1.53779976082078,"ILMN_1758705","IRX6","79190"
-0.91496714684619,7.2278964053473,-4.10904582847983,6.42870906417002e-05,0.00270380997177485,1.53394583741055,"ILMN_2398235","PIK3R1","5295"
-0.662362434920614,7.33073467397134,-4.1082344558187,6.44908688855052e-05,0.00270711379333369,1.53106849956684,"ILMN_1676036","LOC649679","649679"
-0.881429442419917,7.64199508520273,-4.10604244492644,6.50444890560354e-05,0.00271979064683438,1.52329731476944,"ILMN_1694877","CASP6","839"
-0.629772377213435,6.97961098475629,-4.10332198294578,6.57378937975544e-05,0.00273819226997212,1.51365722625133,"ILMN_2128358","TPP2","7174"
-0.56989969196645,6.67316711365825,-4.10247266322525,6.59558155707593e-05,0.00274198619424745,1.51064865956243,"ILMN_1719870","FAM72D","728833"
-0.834440475179947,7.34773462902269,-4.09584825207417,6.76793804163214e-05,0.0028028598579311,1.48719981310909,"ILMN_2069128","EPB41L2","2037"
-0.873050075826786,7.11532169968799,-4.09535280413168,6.78100030922293e-05,0.00280289989837058,1.48544725455533,"ILMN_2190051","CCDC91","55297"
-0.687532633637998,12.4678400656003,-4.09220163742923,6.8646449180843e-05,0.00282666464455517,1.47430450875642,"ILMN_3245600","LRRC37B2","147172"
-1.16078843903408,9.47255687271902,-4.09147685105927,6.88402261149911e-05,0.00282925476835338,1.47174257771622,"ILMN_1679025","LOC641848","641848"
-0.819759657891128,7.21938958655742,-4.08813815871888,6.97396175209549e-05,0.00285536184009091,1.45994582836809,"ILMN_1778957","PNRC2","55629"
-1.23669895190537,9.63370116372397,-4.08675826727551,7.01146074616294e-05,0.00286406905960086,1.45507243331949,"ILMN_2350574","MYADM","91663"
-1.00187376242842,7.81168189131694,-4.08638177573011,7.0217254213547e-05,0.00286406905960086,1.45374299647124,"ILMN_1813019","DNAJB4","11080"
0.871167527144995,8.37517865780762,4.08535112599018,7.04989856599992e-05,0.00287014514500539,1.45010414685163,"ILMN_1712475","HS3ST2","9956"
-0.717933710987383,7.36477540498698,-4.08436040769223,7.07708192706037e-05,0.00287355984312747,1.44660696887921,"ILMN_1785821","TTRAP","51567"
-0.852251626177619,7.53044422892731,-4.0840739220936,7.08496117052789e-05,0.00287355984312747,1.44559581714341,"ILMN_1807492","LOC643668","643668"
-0.901608125300408,7.5123671611872,-4.08359457793231,7.0981633649277e-05,0.00287355984312747,1.44390409675044,"ILMN_2343332","TAF9","6880"
-0.903118961606133,7.87695807326866,-4.08074756118579,7.17706202023307e-05,0.00290006965894203,1.43385954853609,"ILMN_1675462","LSM6","11157"
-0.575957378924922,12.645271104948,-4.07587403308535,7.31406860839703e-05,0.00294565042752402,1.41667821618553,"ILMN_2049364","FAM119A","151194"
-1.03005287806238,9.40843238185101,-4.07335267813203,7.38592675423399e-05,0.00296782462031655,1.40779574679691,"ILMN_3261938","LOC100130154","100130154"
-0.855984469403536,7.57344926881952,-4.07018706995166,7.47710084318672e-05,0.00299888619718016,1.39664984021421,"ILMN_2205350","C6orf66","29078"
-1.05097810681973,8.47923016293461,-4.06913078986272,7.50776163229277e-05,0.00300362372296337,1.39293228094085,"ILMN_3213692","LOC441073","441073"
-0.941096740781494,8.97847701205704,-4.06857558958197,7.52392560404213e-05,0.00300362372296337,1.39097857156868,"ILMN_3275771","LOC642567","642567"
-0.613694330807182,6.95045700262987,-4.06834683604853,7.53059514222475e-05,0.00300362372296337,1.39017366633678,"ILMN_3242016","POTEE","445582"
-0.628674640891046,6.80028485369851,-4.06735315815193,7.55963239050483e-05,0.00300965254176673,1.38667767324873,"ILMN_1803561","PLA2G4A","5321"
-0.513516686662006,6.84955173692323,-4.06563001864646,7.61023955564025e-05,0.00302160486983062,1.38061687596365,"ILMN_3234371","LOC402116","402116"
